Account ID,Account Name,Account Type,Department,Contact Person,Contact Email,Account Age (months),Current Balance (QAR),Credit Limit (QAR),Credit Utilization %,Overdue Balance (QAR),Overdue Days,Overdue Category,Returned Cheques Count,Broken Payment Promises,Last Payment Date,Risk Score,Risk Level,Action Required,Escalation Level,Created Date,Todays Date,Last Paymemnt, Credit Limit Remaining , Average MonthLY  Balance ,Overdue to Credit Limit %  ,Payment Promise Breach Flag
QA-ACC-1019,Barwa Real Estate Group,Corporate Client,Operations,Ahmed Al-Mohannadi,ahmed.barwa@qatarairways.com.qa,22,1370566.02,9768488.06,14.03,42720.23,158,Severe (>90 days),0,0,2025-10-24,40,Medium,Send Reminder & Follow-up,Medium,2025-12-06,12/6/2025,43," 9,725,767.83 "," 62,298.46 ",14%,No
QA-ACC-1005,Al Maha Airways,Internal Affiliate,Travel Management,Ahmed Al-Mohannadi,ahmed.al@qatarairways.com.qa,58,1192924.44,2486152.11,47.98,613896.69,37,Moderate (31-60 days),0,4,2025-10-18,35,Medium,Send Reminder & Follow-up,Medium,2025-12-06,12/6/2025,49," 1,872,255.42 "," 20,567.66 ",48%,Yes
QA-ACC-1010,Power International Holding,Corporate Client,Travel Management,Ahmed Al-Mohannadi,ahmed.power@qatarairways.com.qa,10,4635189.35,6545662.55,70.81,851538.19,41,Moderate (31-60 days),0,0,2025-11-14,25,Low,Monitor Closely,Low,2025-12-06,12/6/2025,22," 5,694,124.36 "," 463,518.94 ",71%,No
QA-ACC-1003,Qatar Aviation Services,Internal Affiliate,Corporate Sales,Mohammed Al-Suwaidi,mohammed.qatar@qatarairways.com.qa,33,4870089.82,2404436.27,202.55,0,0,Current,0,0,2025-10-04,20,Low,Monitor Closely,Low,2025-12-06,12/6/2025,63," 2,404,436.27 "," 147,578.48 ",203%,No
QA-ACC-1006,Qatar Airways Cargo,Internal Affiliate,Corporate Sales,Ali Al-Ansari,ali.qatar@qatarairways.com.qa,45,3789038.98,4309043.16,87.93,0,0,Current,0,0,2025-11-19,20,Low,Monitor Closely,Low,2025-12-06,12/6/2025,17," 4,309,043.16 "," 84,200.87 ",88%,No
QA-ACC-1015,Al Fardan Exchange,Corporate Client,Operations,Mohammed Al-Suwaidi,mohammed.al@qatarairways.com.qa,33,4652003.38,8100391.76,57.43,872745.98,57,Moderate (31-60 days),0,0,2025-10-06,15,Low,Monitor Closely,Low,2025-12-06,12/6/2025,61," 7,227,645.78 "," 140,969.80 ",57%,No
QA-ACC-1014,Al Abdulghani Motors,Corporate Client,Corporate Sales,Fatima Al-Kuwari,fatima.al@qatarairways.com.qa,35,739690.7,6083732.05,12.16,158171.89,42,Moderate (31-60 days),0,0,2025-09-12,15,Low,Monitor Closely,Low,2025-12-06,12/6/2025,85," 5,925,560.16 "," 21,134.02 ",12%,No
QA-ACC-1007,Al Jaber Engineering LLC,Corporate Client,Corporate Sales,Ahmed Al-Mohannadi,ahmed.al@qatarairways.com.qa,31,2276282.96,4011987.34,56.74,729999.28,44,Moderate (31-60 days),0,0,2025-10-06,15,Low,Monitor Closely,Low,2025-12-06,12/6/2025,61," 3,281,988.06 "," 73,428.48 ",57%,No
QA-ACC-1013,Al Bandary International Group,Corporate Client,Travel Management,Ali Al-Ansari,ali.al@qatarairways.com.qa,20,598909.56,4449431.37,13.46,0,0,Current,1,0,2025-12-03,10,Normal,Standard Monitoring,Normal,2025-12-06,12/6/2025,3," 4,449,431.37 "," 29,945.48 ",13%,No
QA-ACC-1002,Qatar Duty Free,Internal Affiliate,Finance,Mohammed Al-Suwaidi,mohammed.qatar@qatarairways.com.qa,26,3106533.47,6155366.29,50.47,0,0,Current,0,0,2025-10-26,0,Normal,Standard Monitoring,Normal,2025-12-06,12/6/2025,41," 6,155,366.29 "," 119,482.06 ",50%,No
QA-ACC-1012,Medgulf Construction,Corporate Client,Finance,Ali Al-Ansari,ali.medgulf@qatarairways.com.qa,19,4252123.43,7245122.26,58.69,0,0,Current,0,0,2025-09-19,0,Normal,Standard Monitoring,Normal,2025-12-06,12/6/2025,78," 7,245,122.26 "," 223,795.97 ",59%,No
QA-ACC-1011,UrbaCon Trading & Contracting,Corporate Client,Travel Management,Mohammed Al-Suwaidi,mohammed.urbacon@qatarairways.com.qa,29,3346315.67,5953848.1,56.2,0,0,Current,0,0,2025-10-21,0,Normal,Standard Monitoring,Normal,2025-12-06,12/6/2025,46," 5,953,848.10 "," 115,390.20 ",56%,No
,,,,,,,,,,,,,,,,,,,,,,,,,,
 Risk Level Overview Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Count of Account ID,Sum of Overdue Days,Average of Risk Score,Max of Overdue Balance (QAR),,,,,,,,,,,,,,,,,,,,,,
Critical,3,369, 78.33 ," 764,003.42 ",,,,,,,,,,,,,,,,,,,,,,
High,4,401, 58.75 ," 907,760.16 ",,,,,,,,,,,,,,,,,,,,,,
Low,6,184, 18.33 ," 872,745.98 ",,,,,,,,,,,,,,,,,,,,,,
Medium,5,509, 40.00 ," 613,896.69 ",,,,,,,,,,,,,,,,,,,,,,
Normal,4,0, 2.50 , -   ,,,,,,,,,,,,,,,,,,,,,,
Grand Total,22,1463, 35.91 ," 907,760.16 ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Department-Wise Risk Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Count of Broken Payment Promises,Average of Credit Utilization %,Sum of Overdue Balance (QAR),,,,,,,,,,,,,,,,,,,,,,,
Corporate Sales,6, 97.99 ," 1,563,296.15 ",,,,,,,,,,,,,,,,,,,,,,,
Finance,4, 63.92 ," 1,080,865.32 ",,,,,,,,,,,,,,,,,,,,,,,
Operations,2, 35.73 ," 915,466.21 ",,,,,,,,,,,,,,,,,,,,,,,
Procurement,3, 122.17 ," 1,671,763.58 ",,,,,,,,,,,,,,,,,,,,,,,
Travel Management,7, 75.19 ," 1,860,595.02 ",,,,,,,,,,,,,,,,,,,,,,,
Grand Total,22, 82.18 ," 7,091,986.28 ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
